serial,00bkg,01body,02cheeks,03eye,04beak,05face,06hat,07clothes,dna
562,bkg06,body01,cheeks10,Eye24,Beak06,NONE,hat74,clothes12,bkg06--body01--cheeks10--Eye24--Beak06--NONE--hat74--clothes12
563,bkg03,body01,NONE,Eye14,Beak04,NONE,hat54,clothes83,bkg03--body01--NONE--Eye14--Beak04--NONE--hat54--clothes83
564,bkg06,body01,cheeks02,Eye16,Beak04,face01,hat47,NONE,bkg06--body01--cheeks02--Eye16--Beak04--face01--hat47--NONE
565,bkg06,body01,cheeks13,Eye17,Beak08,NONE,hat63,clothes66,bkg06--body01--cheeks13--Eye17--Beak08--NONE--hat63--clothes66
566,bkg01,body01,cheeks13,Eye14,Beak08,face01,hat17,clothes14,bkg01--body01--cheeks13--Eye14--Beak08--face01--hat17--clothes14
567,bkg02,body01,cheeks06,Eye07,Beak06,NONE,hat76,clothes40,bkg02--body01--cheeks06--Eye07--Beak06--NONE--hat76--clothes40
568,bkg07,body01,NONE,Eye02,Beak09,NONE,hat24,clothes64,bkg07--body01--NONE--Eye02--Beak09--NONE--hat24--clothes64
569,bkg01,body01,NONE,Eye05,Beak04,NONE,hat09,clothes47,bkg01--body01--NONE--Eye05--Beak04--NONE--hat09--clothes47
570,bkg03,body01,cheeks06,Eye30,Beak09,NONE,hat12,clothes73,bkg03--body01--cheeks06--Eye30--Beak09--NONE--hat12--clothes73
571,bkg02,body01,cheeks08,Eye16,Beak11,NONE,hat83,NONE,bkg02--body01--cheeks08--Eye16--Beak11--NONE--hat83--NONE
572,bkg05,body01,NONE,Eye05,Beak08,NONE,hat15,clothes68,bkg05--body01--NONE--Eye05--Beak08--NONE--hat15--clothes68
573,bkg04,body01,cheeks08,Eye08,Beak09,face10,hat17,clothes10,bkg04--body01--cheeks08--Eye08--Beak09--face10--hat17--clothes10
574,bkg06,body01,NONE,Eye06,Beak11,NONE,hat01,clothes15,bkg06--body01--NONE--Eye06--Beak11--NONE--hat01--clothes15
575,bkg07,body01,cheeks09,Eye18,Beak12,NONE,hat15,clothes48,bkg07--body01--cheeks09--Eye18--Beak12--NONE--hat15--clothes48
576,bkg04,body01,cheeks11,Eye23,Beak08,NONE,hat82,clothes50,bkg04--body01--cheeks11--Eye23--Beak08--NONE--hat82--clothes50
577,bkg01,body01,cheeks04,Eye01,Beak11,face04,hat26,NONE,bkg01--body01--cheeks04--Eye01--Beak11--face04--hat26--NONE
578,bkg02,body01,NONE,Eye22,Beak12,face10,hat45,clothes29,bkg02--body01--NONE--Eye22--Beak12--face10--hat45--clothes29
579,bkg03,body01,NONE,Eye02,Beak07,face04,hat30,clothes27,bkg03--body01--NONE--Eye02--Beak07--face04--hat30--clothes27
580,bkg07,body01,cheeks13,Eye29,Beak02,NONE,hat25,clothes33,bkg07--body01--cheeks13--Eye29--Beak02--NONE--hat25--clothes33
581,bkg07,body01,cheeks09,Eye30,Beak12,NONE,hat25,clothes08,bkg07--body01--cheeks09--Eye30--Beak12--NONE--hat25--clothes08
582,bkg05,body01,cheeks11,Eye14,Beak11,NONE,hat83,clothes69,bkg05--body01--cheeks11--Eye14--Beak11--NONE--hat83--clothes69
583,bkg07,body01,cheeks11,Eye01,Beak01,NONE,hat56,clothes36,bkg07--body01--cheeks11--Eye01--Beak01--NONE--hat56--clothes36
584,bkg04,body01,NONE,Eye21,Beak11,NONE,hat06,clothes02,bkg04--body01--NONE--Eye21--Beak11--NONE--hat06--clothes02
585,bkg06,body01,cheeks08,Eye19,Beak10,NONE,NONE,clothes08,bkg06--body01--cheeks08--Eye19--Beak10--NONE--NONE--clothes08
586,bkg01,body01,NONE,Eye16,Beak10,face07,hat01,clothes09,bkg01--body01--NONE--Eye16--Beak10--face07--hat01--clothes09
587,bkg07,body01,cheeks08,Eye06,Beak09,face07,hat25,clothes14,bkg07--body01--cheeks08--Eye06--Beak09--face07--hat25--clothes14
588,bkg04,body01,cheeks06,Eye03,Beak10,NONE,hat28,clothes72,bkg04--body01--cheeks06--Eye03--Beak10--NONE--hat28--clothes72
589,bkg06,body01,NONE,Eye08,Beak05,NONE,hat76,clothes49,bkg06--body01--NONE--Eye08--Beak05--NONE--hat76--clothes49
590,bkg01,body01,cheeks10,Eye10,Beak06,face03,hat32,clothes58,bkg01--body01--cheeks10--Eye10--Beak06--face03--hat32--clothes58
591,bkg03,body01,NONE,Eye21,Beak12,NONE,hat01,clothes61,bkg03--body01--NONE--Eye21--Beak12--NONE--hat01--clothes61
592,bkg07,body01,NONE,Eye01,Beak11,face04,hat50,clothes59,bkg07--body01--NONE--Eye01--Beak11--face04--hat50--clothes59
593,bkg05,body01,cheeks06,Eye04,Beak11,NONE,hat15,clothes36,bkg05--body01--cheeks06--Eye04--Beak11--NONE--hat15--clothes36
594,bkg03,body01,cheeks04,Eye04,Beak03,NONE,hat69,clothes34,bkg03--body01--cheeks04--Eye04--Beak03--NONE--hat69--clothes34
595,bkg01,body01,cheeks05,Eye03,Beak08,NONE,hat46,clothes62,bkg01--body01--cheeks05--Eye03--Beak08--NONE--hat46--clothes62
596,bkg07,body01,NONE,Eye07,Beak05,NONE,hat14,clothes19,bkg07--body01--NONE--Eye07--Beak05--NONE--hat14--clothes19
597,bkg07,body01,cheeks10,Eye14,Beak11,face03,hat13,clothes41,bkg07--body01--cheeks10--Eye14--Beak11--face03--hat13--clothes41
598,bkg07,body01,cheeks13,Eye12,Beak09,NONE,hat02,clothes21,bkg07--body01--cheeks13--Eye12--Beak09--NONE--hat02--clothes21
599,bkg01,body01,cheeks04,Eye04,Beak12,NONE,hat48,clothes79,bkg01--body01--cheeks04--Eye04--Beak12--NONE--hat48--clothes79
600,bkg07,body01,cheeks11,Eye14,Beak03,NONE,NONE,clothes32,bkg07--body01--cheeks11--Eye14--Beak03--NONE--NONE--clothes32
601,bkg01,body01,cheeks07,Eye01,Beak07,face10,hat68,clothes30,bkg01--body01--cheeks07--Eye01--Beak07--face10--hat68--clothes30
602,bkg03,body01,cheeks1,Eye12,Beak04,NONE,hat04,clothes51,bkg03--body01--cheeks1--Eye12--Beak04--NONE--hat04--clothes51
603,bkg07,body01,cheeks11,Eye01,Beak10,NONE,hat13,clothes49,bkg07--body01--cheeks11--Eye01--Beak10--NONE--hat13--clothes49
604,bkg06,body01,cheeks04,Eye03,Beak03,face01,hat01,clothes75,bkg06--body01--cheeks04--Eye03--Beak03--face01--hat01--clothes75
605,bkg05,body01,NONE,Eye03,Beak11,NONE,NONE,clothes72,bkg05--body01--NONE--Eye03--Beak11--NONE--NONE--clothes72
606,bkg04,body01,cheeks02,Eye21,Beak09,face03,hat56,clothes64,bkg04--body01--cheeks02--Eye21--Beak09--face03--hat56--clothes64
607,bkg05,body01,cheeks04,Eye07,Beak04,face04,hat73,clothes35,bkg05--body01--cheeks04--Eye07--Beak04--face04--hat73--clothes35
608,bkg02,body01,cheeks11,Eye02,Beak08,NONE,hat26,clothes50,bkg02--body01--cheeks11--Eye02--Beak08--NONE--hat26--clothes50
609,bkg02,body01,cheeks03,Eye30,Beak01,face01,hat31,clothes30,bkg02--body01--cheeks03--Eye30--Beak01--face01--hat31--clothes30
610,bkg06,body01,cheeks12,Eye29,Beak04,NONE,hat19,clothes22,bkg06--body01--cheeks12--Eye29--Beak04--NONE--hat19--clothes22
611,bkg07,body01,cheeks02,Eye08,Beak02,NONE,hat52,clothes09,bkg07--body01--cheeks02--Eye08--Beak02--NONE--hat52--clothes09
612,bkg02,body01,NONE,Eye03,Beak05,NONE,hat16,clothes27,bkg02--body01--NONE--Eye03--Beak05--NONE--hat16--clothes27
613,bkg01,body01,cheeks07,Eye01,Beak04,NONE,hat11,clothes66,bkg01--body01--cheeks07--Eye01--Beak04--NONE--hat11--clothes66
614,bkg04,body01,cheeks12,Eye02,Beak03,NONE,NONE,clothes38,bkg04--body01--cheeks12--Eye02--Beak03--NONE--NONE--clothes38
615,bkg06,body01,cheeks08,Eye05,Beak02,NONE,hat10,clothes12,bkg06--body01--cheeks08--Eye05--Beak02--NONE--hat10--clothes12
616,bkg03,body01,cheeks12,Eye13,Beak06,NONE,hat60,NONE,bkg03--body01--cheeks12--Eye13--Beak06--NONE--hat60--NONE
617,bkg01,body01,cheeks1,Eye14,Beak06,face10,hat02,clothes14,bkg01--body01--cheeks1--Eye14--Beak06--face10--hat02--clothes14
618,bkg04,body01,NONE,Eye15,Beak07,NONE,hat15,clothes54,bkg04--body01--NONE--Eye15--Beak07--NONE--hat15--clothes54
619,bkg02,body01,cheeks1,Eye28,Beak08,face01,hat65,clothes22,bkg02--body01--cheeks1--Eye28--Beak08--face01--hat65--clothes22
620,bkg06,body01,NONE,Eye18,Beak04,face05,hat65,clothes14,bkg06--body01--NONE--Eye18--Beak04--face05--hat65--clothes14
621,bkg03,body01,cheeks05,Eye03,Beak01,NONE,hat11,clothes54,bkg03--body01--cheeks05--Eye03--Beak01--NONE--hat11--clothes54
622,bkg04,body01,NONE,Eye03,Beak10,face06,hat15,clothes46,bkg04--body01--NONE--Eye03--Beak10--face06--hat15--clothes46
623,bkg06,body01,NONE,Eye11,Beak03,NONE,hat45,clothes44,bkg06--body01--NONE--Eye11--Beak03--NONE--hat45--clothes44
624,bkg04,body01,cheeks11,Eye01,Beak13,NONE,hat37,clothes56,bkg04--body01--cheeks11--Eye01--Beak13--NONE--hat37--clothes56
625,bkg01,body01,cheeks04,Eye26,Beak04,NONE,hat01,clothes51,bkg01--body01--cheeks04--Eye26--Beak04--NONE--hat01--clothes51
626,bkg03,body01,cheeks04,Eye10,Beak02,NONE,hat18,clothes41,bkg03--body01--cheeks04--Eye10--Beak02--NONE--hat18--clothes41
627,bkg05,body01,cheeks03,Eye15,Beak02,face07,hat55,clothes11,bkg05--body01--cheeks03--Eye15--Beak02--face07--hat55--clothes11
628,bkg01,body01,cheeks13,Eye15,Beak05,face04,hat35,clothes18,bkg01--body01--cheeks13--Eye15--Beak05--face04--hat35--clothes18
629,bkg01,body01,cheeks12,Eye04,Beak01,NONE,hat65,clothes14,bkg01--body01--cheeks12--Eye04--Beak01--NONE--hat65--clothes14
630,bkg02,body01,NONE,Eye05,Beak10,face01,hat48,clothes63,bkg02--body01--NONE--Eye05--Beak10--face01--hat48--clothes63
631,bkg04,body01,NONE,Eye06,Beak02,face06,hat60,clothes05,bkg04--body01--NONE--Eye06--Beak02--face06--hat60--clothes05
632,bkg06,body01,cheeks08,Eye16,Beak10,NONE,hat63,clothes15,bkg06--body01--cheeks08--Eye16--Beak10--NONE--hat63--clothes15
633,bkg01,body01,NONE,Eye09,Beak12,NONE,hat05,clothes81,bkg01--body01--NONE--Eye09--Beak12--NONE--hat05--clothes81
634,bkg07,body01,cheeks06,Eye12,Beak01,NONE,hat34,clothes11,bkg07--body01--cheeks06--Eye12--Beak01--NONE--hat34--clothes11
635,bkg02,body01,NONE,Eye30,Beak03,NONE,NONE,clothes02,bkg02--body01--NONE--Eye30--Beak03--NONE--NONE--clothes02
636,bkg07,body01,NONE,Eye22,Beak10,face03,NONE,clothes60,bkg07--body01--NONE--Eye22--Beak10--face03--NONE--clothes60
637,bkg02,body01,cheeks09,Eye20,Beak06,NONE,hat78,clothes38,bkg02--body01--cheeks09--Eye20--Beak06--NONE--hat78--clothes38
638,bkg07,body01,cheeks04,Eye20,Beak11,NONE,hat28,clothes06,bkg07--body01--cheeks04--Eye20--Beak11--NONE--hat28--clothes06
639,bkg01,body01,NONE,Eye12,Beak03,NONE,hat68,clothes59,bkg01--body01--NONE--Eye12--Beak03--NONE--hat68--clothes59
640,bkg04,body01,cheeks13,Eye13,Beak13,NONE,NONE,clothes19,bkg04--body01--cheeks13--Eye13--Beak13--NONE--NONE--clothes19
641,bkg07,body01,cheeks08,Eye04,Beak06,NONE,hat24,clothes34,bkg07--body01--cheeks08--Eye04--Beak06--NONE--hat24--clothes34
642,bkg04,body01,cheeks02,Eye30,Beak03,NONE,hat12,clothes75,bkg04--body01--cheeks02--Eye30--Beak03--NONE--hat12--clothes75
643,bkg04,body01,cheeks13,Eye05,Beak04,face06,hat69,clothes37,bkg04--body01--cheeks13--Eye05--Beak04--face06--hat69--clothes37
644,bkg01,body01,NONE,Eye04,Beak10,face03,hat11,clothes72,bkg01--body01--NONE--Eye04--Beak10--face03--hat11--clothes72
645,bkg05,body01,NONE,Eye05,Beak08,face03,hat33,clothes35,bkg05--body01--NONE--Eye05--Beak08--face03--hat33--clothes35
646,bkg02,body01,cheeks06,Eye15,Beak08,NONE,hat67,clothes32,bkg02--body01--cheeks06--Eye15--Beak08--NONE--hat67--clothes32
647,bkg02,body01,cheeks08,Eye10,Beak02,NONE,hat65,clothes68,bkg02--body01--cheeks08--Eye10--Beak02--NONE--hat65--clothes68
648,bkg03,body01,cheeks05,Eye16,Beak01,NONE,NONE,clothes36,bkg03--body01--cheeks05--Eye16--Beak01--NONE--NONE--clothes36
649,bkg06,body01,NONE,Eye01,Beak10,NONE,hat05,clothes34,bkg06--body01--NONE--Eye01--Beak10--NONE--hat05--clothes34
650,bkg04,body01,cheeks08,Eye01,Beak01,NONE,hat24,clothes12,bkg04--body01--cheeks08--Eye01--Beak01--NONE--hat24--clothes12
651,bkg02,body01,cheeks10,Eye07,Beak02,face01,hat82,clothes24,bkg02--body01--cheeks10--Eye07--Beak02--face01--hat82--clothes24
652,bkg06,body01,NONE,Eye08,Beak04,NONE,hat02,clothes62,bkg06--body01--NONE--Eye08--Beak04--NONE--hat02--clothes62
653,bkg06,body01,NONE,Eye06,Beak09,face10,hat13,clothes61,bkg06--body01--NONE--Eye06--Beak09--face10--hat13--clothes61
654,bkg03,body01,cheeks11,Eye04,Beak04,face05,hat82,clothes27,bkg03--body01--cheeks11--Eye04--Beak04--face05--hat82--clothes27
655,bkg02,body01,NONE,Eye10,Beak12,NONE,hat78,clothes63,bkg02--body01--NONE--Eye10--Beak12--NONE--hat78--clothes63
656,bkg04,body01,cheeks12,Eye01,Beak03,NONE,hat69,clothes51,bkg04--body01--cheeks12--Eye01--Beak03--NONE--hat69--clothes51
657,bkg02,body01,cheeks08,Eye04,Beak04,NONE,hat04,clothes36,bkg02--body01--cheeks08--Eye04--Beak04--NONE--hat04--clothes36
658,bkg01,body01,NONE,Eye30,Beak06,face05,hat17,clothes60,bkg01--body01--NONE--Eye30--Beak06--face05--hat17--clothes60
659,bkg02,body01,cheeks10,Eye17,Beak11,NONE,hat13,clothes22,bkg02--body01--cheeks10--Eye17--Beak11--NONE--hat13--clothes22
660,bkg04,body01,cheeks08,Eye14,Beak13,NONE,NONE,clothes57,bkg04--body01--cheeks08--Eye14--Beak13--NONE--NONE--clothes57
661,bkg05,body01,NONE,Eye03,Beak04,NONE,hat31,clothes48,bkg05--body01--NONE--Eye03--Beak04--NONE--hat31--clothes48
662,bkg06,body01,NONE,Eye10,Beak07,NONE,hat05,clothes14,bkg06--body01--NONE--Eye10--Beak07--NONE--hat05--clothes14
663,bkg03,body01,cheeks06,Eye08,Beak11,NONE,hat83,clothes54,bkg03--body01--cheeks06--Eye08--Beak11--NONE--hat83--clothes54
664,bkg02,body01,cheeks12,Eye10,Beak09,NONE,hat28,clothes01,bkg02--body01--cheeks12--Eye10--Beak09--NONE--hat28--clothes01
665,bkg04,body01,NONE,Eye04,Beak01,face04,hat44,NONE,bkg04--body01--NONE--Eye04--Beak01--face04--hat44--NONE
666,bkg04,body01,cheeks04,Eye30,Beak11,NONE,hat52,clothes33,bkg04--body01--cheeks04--Eye30--Beak11--NONE--hat52--clothes33
667,bkg04,body01,cheeks13,Eye07,Beak02,NONE,hat66,clothes37,bkg04--body01--cheeks13--Eye07--Beak02--NONE--hat66--clothes37
668,bkg02,body01,cheeks05,Eye07,Beak05,face03,hat33,clothes56,bkg02--body01--cheeks05--Eye07--Beak05--face03--hat33--clothes56
669,bkg01,body01,cheeks10,Eye15,Beak04,face10,hat03,clothes12,bkg01--body01--cheeks10--Eye15--Beak04--face10--hat03--clothes12
670,bkg03,body01,NONE,Eye02,Beak02,NONE,hat04,clothes08,bkg03--body01--NONE--Eye02--Beak02--NONE--hat04--clothes08
671,bkg03,body01,cheeks04,Eye25,Beak11,NONE,hat43,clothes12,bkg03--body01--cheeks04--Eye25--Beak11--NONE--hat43--clothes12
672,bkg05,body01,cheeks04,Eye03,Beak01,NONE,hat45,clothes40,bkg05--body01--cheeks04--Eye03--Beak01--NONE--hat45--clothes40
673,bkg07,body01,cheeks09,Eye07,Beak07,NONE,hat09,clothes28,bkg07--body01--cheeks09--Eye07--Beak07--NONE--hat09--clothes28
674,bkg01,body01,NONE,Eye17,Beak05,face04,hat29,clothes74,bkg01--body01--NONE--Eye17--Beak05--face04--hat29--clothes74
675,bkg03,body01,NONE,Eye07,Beak07,NONE,hat34,NONE,bkg03--body01--NONE--Eye07--Beak07--NONE--hat34--NONE
676,bkg04,body01,NONE,Eye05,Beak05,NONE,hat60,clothes49,bkg04--body01--NONE--Eye05--Beak05--NONE--hat60--clothes49
677,bkg06,body01,cheeks05,Eye23,Beak11,NONE,hat28,clothes78,bkg06--body01--cheeks05--Eye23--Beak11--NONE--hat28--clothes78
678,bkg05,body01,cheeks07,Eye01,Beak07,NONE,hat06,clothes49,bkg05--body01--cheeks07--Eye01--Beak07--NONE--hat06--clothes49
679,bkg06,body01,cheeks07,Eye15,Beak01,face10,hat30,clothes42,bkg06--body01--cheeks07--Eye15--Beak01--face10--hat30--clothes42
680,bkg02,body01,NONE,Eye01,Beak03,NONE,hat52,clothes58,bkg02--body01--NONE--Eye01--Beak03--NONE--hat52--clothes58
681,bkg05,body01,NONE,Eye05,Beak12,NONE,hat76,clothes41,bkg05--body01--NONE--Eye05--Beak12--NONE--hat76--clothes41
682,bkg05,body01,cheeks11,Eye05,Beak05,NONE,hat62,clothes63,bkg05--body01--cheeks11--Eye05--Beak05--NONE--hat62--clothes63
683,bkg02,body01,cheeks10,Eye30,Beak09,NONE,hat09,clothes24,bkg02--body01--cheeks10--Eye30--Beak09--NONE--hat09--clothes24
684,bkg02,body01,cheeks10,Eye18,Beak10,NONE,hat03,clothes72,bkg02--body01--cheeks10--Eye18--Beak10--NONE--hat03--clothes72
685,bkg05,body01,NONE,Eye14,Beak05,NONE,hat37,clothes71,bkg05--body01--NONE--Eye14--Beak05--NONE--hat37--clothes71
686,bkg03,body01,cheeks04,Eye02,Beak08,NONE,hat54,clothes59,bkg03--body01--cheeks04--Eye02--Beak08--NONE--hat54--clothes59
687,bkg02,body01,cheeks1,Eye20,Beak04,face10,NONE,clothes51,bkg02--body01--cheeks1--Eye20--Beak04--face10--NONE--clothes51
688,bkg06,body01,cheeks05,Eye06,Beak08,NONE,hat14,clothes28,bkg06--body01--cheeks05--Eye06--Beak08--NONE--hat14--clothes28
689,bkg04,body01,cheeks06,Eye08,Beak02,NONE,hat25,NONE,bkg04--body01--cheeks06--Eye08--Beak02--NONE--hat25--NONE
690,bkg07,body01,cheeks13,Eye01,Beak03,face03,hat08,clothes27,bkg07--body01--cheeks13--Eye01--Beak03--face03--hat08--clothes27
691,bkg03,body01,cheeks03,Eye21,Beak04,NONE,hat24,clothes20,bkg03--body01--cheeks03--Eye21--Beak04--NONE--hat24--clothes20
692,bkg02,body01,cheeks1,Eye04,Beak07,NONE,hat57,clothes05,bkg02--body01--cheeks1--Eye04--Beak07--NONE--hat57--clothes05
693,bkg07,body01,cheeks12,Eye19,Beak01,face10,hat79,clothes54,bkg07--body01--cheeks12--Eye19--Beak01--face10--hat79--clothes54
694,bkg05,body01,NONE,Eye24,Beak07,NONE,hat53,clothes16,bkg05--body01--NONE--Eye24--Beak07--NONE--hat53--clothes16
695,bkg07,body01,cheeks12,Eye07,Beak11,NONE,hat01,clothes47,bkg07--body01--cheeks12--Eye07--Beak11--NONE--hat01--clothes47
696,bkg03,body01,cheeks06,Eye12,Beak01,NONE,hat06,clothes24,bkg03--body01--cheeks06--Eye12--Beak01--NONE--hat06--clothes24
697,bkg06,body01,cheeks06,Eye16,Beak11,face01,hat10,clothes68,bkg06--body01--cheeks06--Eye16--Beak11--face01--hat10--clothes68
698,bkg03,body01,cheeks05,Eye14,Beak04,face07,NONE,clothes10,bkg03--body01--cheeks05--Eye14--Beak04--face07--NONE--clothes10
699,bkg01,body01,cheeks10,Eye03,Beak12,NONE,hat03,clothes09,bkg01--body01--cheeks10--Eye03--Beak12--NONE--hat03--clothes09
700,bkg02,body01,NONE,Eye23,Beak02,face07,hat14,clothes06,bkg02--body01--NONE--Eye23--Beak02--face07--hat14--clothes06
701,bkg06,body01,NONE,Eye10,Beak10,NONE,hat28,clothes48,bkg06--body01--NONE--Eye10--Beak10--NONE--hat28--clothes48
702,bkg05,body01,cheeks05,Eye11,Beak06,NONE,hat81,clothes71,bkg05--body01--cheeks05--Eye11--Beak06--NONE--hat81--clothes71
703,bkg02,body01,NONE,Eye05,Beak06,NONE,hat35,clothes38,bkg02--body01--NONE--Eye05--Beak06--NONE--hat35--clothes38
704,bkg05,body01,cheeks07,Eye06,Beak01,face03,hat12,clothes72,bkg05--body01--cheeks07--Eye06--Beak01--face03--hat12--clothes72
705,bkg05,body01,cheeks12,Eye04,Beak10,NONE,NONE,NONE,bkg05--body01--cheeks12--Eye04--Beak10--NONE--NONE--NONE
706,bkg05,body01,cheeks06,Eye23,Beak03,NONE,hat18,clothes10,bkg05--body01--cheeks06--Eye23--Beak03--NONE--hat18--clothes10
707,bkg05,body01,cheeks08,Eye10,Beak03,NONE,hat01,clothes16,bkg05--body01--cheeks08--Eye10--Beak03--NONE--hat01--clothes16
708,bkg03,body01,NONE,Eye22,Beak04,NONE,hat38,clothes16,bkg03--body01--NONE--Eye22--Beak04--NONE--hat38--clothes16
709,bkg06,body01,NONE,Eye13,Beak11,NONE,hat48,clothes69,bkg06--body01--NONE--Eye13--Beak11--NONE--hat48--clothes69
710,bkg01,body01,NONE,Eye01,Beak08,face10,hat03,clothes55,bkg01--body01--NONE--Eye01--Beak08--face10--hat03--clothes55
711,bkg07,body01,cheeks04,Eye04,Beak08,NONE,NONE,clothes04,bkg07--body01--cheeks04--Eye04--Beak08--NONE--NONE--clothes04
712,bkg03,body01,cheeks04,Eye15,Beak12,face01,hat06,clothes11,bkg03--body01--cheeks04--Eye15--Beak12--face01--hat06--clothes11
713,bkg02,body01,cheeks12,Eye02,Beak13,NONE,hat29,clothes63,bkg02--body01--cheeks12--Eye02--Beak13--NONE--hat29--clothes63
714,bkg07,body01,cheeks11,Eye15,Beak07,face04,hat08,clothes45,bkg07--body01--cheeks11--Eye15--Beak07--face04--hat08--clothes45
715,bkg02,body01,NONE,Eye04,Beak02,face01,hat82,clothes27,bkg02--body01--NONE--Eye04--Beak02--face01--hat82--clothes27
716,bkg06,body01,cheeks03,Eye04,Beak10,face07,hat04,clothes32,bkg06--body01--cheeks03--Eye04--Beak10--face07--hat04--clothes32
717,bkg04,body01,cheeks04,Eye29,Beak04,face06,hat25,clothes63,bkg04--body01--cheeks04--Eye29--Beak04--face06--hat25--clothes63
718,bkg02,body01,NONE,Eye04,Beak01,NONE,hat71,clothes64,bkg02--body01--NONE--Eye04--Beak01--NONE--hat71--clothes64
719,bkg04,body01,cheeks04,Eye03,Beak02,NONE,hat70,clothes40,bkg04--body01--cheeks04--Eye03--Beak02--NONE--hat70--clothes40
720,bkg03,body01,cheeks07,Eye15,Beak03,face03,hat07,clothes77,bkg03--body01--cheeks07--Eye15--Beak03--face03--hat07--clothes77
721,bkg07,body01,NONE,Eye03,Beak02,NONE,hat18,clothes28,bkg07--body01--NONE--Eye03--Beak02--NONE--hat18--clothes28
722,bkg05,body01,cheeks09,Eye06,Beak04,face07,hat72,clothes18,bkg05--body01--cheeks09--Eye06--Beak04--face07--hat72--clothes18
723,bkg06,body01,cheeks04,Eye22,Beak02,NONE,hat24,clothes09,bkg06--body01--cheeks04--Eye22--Beak02--NONE--hat24--clothes09
724,bkg04,body01,cheeks04,Eye18,Beak10,face10,hat11,clothes82,bkg04--body01--cheeks04--Eye18--Beak10--face10--hat11--clothes82
725,bkg01,body01,cheeks11,Eye07,Beak12,face01,hat35,clothes29,bkg01--body01--cheeks11--Eye07--Beak12--face01--hat35--clothes29
726,bkg03,body01,cheeks07,Eye24,Beak01,face01,hat41,clothes70,bkg03--body01--cheeks07--Eye24--Beak01--face01--hat41--clothes70
727,bkg01,body01,cheeks08,Eye26,Beak07,NONE,hat74,clothes64,bkg01--body01--cheeks08--Eye26--Beak07--NONE--hat74--clothes64
728,bkg02,body01,NONE,Eye03,Beak11,face04,hat69,clothes33,bkg02--body01--NONE--Eye03--Beak11--face04--hat69--clothes33
729,bkg03,body01,cheeks06,Eye02,Beak10,NONE,NONE,clothes18,bkg03--body01--cheeks06--Eye02--Beak10--NONE--NONE--clothes18
730,bkg04,body01,NONE,Eye07,Beak10,NONE,hat81,clothes74,bkg04--body01--NONE--Eye07--Beak10--NONE--hat81--clothes74
731,bkg06,body01,cheeks08,Eye03,Beak07,face01,hat22,NONE,bkg06--body01--cheeks08--Eye03--Beak07--face01--hat22--NONE
732,bkg04,body01,NONE,Eye02,Beak05,NONE,NONE,clothes58,bkg04--body01--NONE--Eye02--Beak05--NONE--NONE--clothes58
733,bkg02,body01,NONE,Eye25,Beak04,NONE,hat84,clothes06,bkg02--body01--NONE--Eye25--Beak04--NONE--hat84--clothes06
734,bkg03,body01,cheeks06,Eye25,Beak02,NONE,hat09,clothes33,bkg03--body01--cheeks06--Eye25--Beak02--NONE--hat09--clothes33
735,bkg01,body01,cheeks04,Eye27,Beak02,face04,hat08,clothes11,bkg01--body01--cheeks04--Eye27--Beak02--face04--hat08--clothes11
736,bkg06,body01,cheeks13,Eye23,Beak01,face03,hat10,clothes43,bkg06--body01--cheeks13--Eye23--Beak01--face03--hat10--clothes43
737,bkg02,body01,NONE,Eye29,Beak12,NONE,hat35,clothes71,bkg02--body01--NONE--Eye29--Beak12--NONE--hat35--clothes71
738,bkg05,body01,cheeks08,Eye02,Beak01,NONE,hat67,clothes40,bkg05--body01--cheeks08--Eye02--Beak01--NONE--hat67--clothes40
739,bkg06,body01,NONE,Eye07,Beak07,face01,hat33,clothes47,bkg06--body01--NONE--Eye07--Beak07--face01--hat33--clothes47
740,bkg03,body01,cheeks13,Eye02,Beak02,NONE,hat31,clothes47,bkg03--body01--cheeks13--Eye02--Beak02--NONE--hat31--clothes47
741,bkg05,body01,cheeks09,Eye30,Beak08,NONE,NONE,clothes37,bkg05--body01--cheeks09--Eye30--Beak08--NONE--NONE--clothes37
742,bkg05,body01,NONE,Eye12,Beak02,face07,hat63,clothes14,bkg05--body01--NONE--Eye12--Beak02--face07--hat63--clothes14
743,bkg01,body01,cheeks13,Eye03,Beak06,NONE,hat08,clothes20,bkg01--body01--cheeks13--Eye03--Beak06--NONE--hat08--clothes20
744,bkg02,body01,cheeks12,Eye08,Beak06,NONE,hat45,clothes47,bkg02--body01--cheeks12--Eye08--Beak06--NONE--hat45--clothes47
745,bkg04,body01,cheeks06,Eye22,Beak02,face01,hat52,clothes62,bkg04--body01--cheeks06--Eye22--Beak02--face01--hat52--clothes62
746,bkg07,body01,cheeks05,Eye07,Beak12,NONE,hat10,clothes50,bkg07--body01--cheeks05--Eye07--Beak12--NONE--hat10--clothes50
747,bkg04,body01,cheeks08,Eye30,Beak09,NONE,NONE,clothes15,bkg04--body01--cheeks08--Eye30--Beak09--NONE--NONE--clothes15
748,bkg03,body01,NONE,Eye15,Beak12,NONE,hat81,clothes41,bkg03--body01--NONE--Eye15--Beak12--NONE--hat81--clothes41
749,bkg07,body01,cheeks10,Eye21,Beak13,NONE,hat62,clothes10,bkg07--body01--cheeks10--Eye21--Beak13--NONE--hat62--clothes10
